192910;5.9
192911;1.4
192912;0.8
193001;0.7
193002;-3.7
193003;1.1
193004;1.7
193005;4.8
193006;11.0
193007;11.0
193008;12.4
193009;10.9
193010;6.2
193011;4.4
193012;-0.3
193101;-2.7
193102;-5.1
193103;1.2
193104;1.9
193105;6.8
193106;13.1
193107;12.3
193108;10.8
193109;6.2
193110;5.0
193111;1.4
193112;-2.0
193201;-0.3
193202;-5.4
193203;-1.8
193204;-0.7
193205;4.5
193206;8.0
193207;9.9
193208;14.7
193209;11.5
193210;4.3
193211;2.6
193212;1.3
193301;-4.2
193302;-1.3
193303;0.8
193304;4.8
193305;6.0
193306;6.8
193307;14.1
193308;16.1
193309;10.6
193310;5.7
193311;-0.9
193312;-2.2
193401;-2.4
193402;0.1
193403;-1.4
193404;2.4
193405;9.0
193406;10.2
193407;14.5
193408;11.0
193409;11.5
193410;6.5
193411;1.4
193412;1.4
193501;-5.0
193502;-2.5
193503;-1.2
193504;0.2
193505;3.5
193506;10.6
193507;14.2
193508;12.1
193509;10.7
193510;3.8
193511;1.5
193512;-2.4
193601;0.9
193602;-1.2
193603;0.5
193604;1.4
193605;5.8
193606;8.7
193607;10.6
193608;12.7
193609;9.1
193610;2.6
193611;0.6
193612;-0.5
193701;-0.1
193702;-0.5
193703;-2.0
193704;1.6
193705;7.4
193706;10.5
193707;13.1
193708;13.7
193709;9.2
193710;6.1
193711;2.6
193712;-3.1
193801;-1.9
193802;-2.6
193803;4.6
193804;2.1
193805;3.3
193806;11.4
193807;12.0
193808;12.6
193809;9.1
193810;6.3
193811;4.4
193812;-1.5
193901;-0.9
193902;0.2
193903;-3.9
193904;2.3
193905;3.3
193906;9.6
193907;10.5
193908;12.8
193909;13.1
194001;-4.2
194002;-0.9
194003;0.9
194004;1.4
194005;6.0
194006;9.1
194007;10.4
194008;12.4
194009;9.9
194010;4.4
194011;1.4
194012;-4.9
194101;-5.0
194102;-2.4
194103;0.4
194104;0.4
194105;2.9
194106;10.6
194107;13.1
194108;10.4
194109;10.1
194110;4.4
194111;-0.1
194112;-1.1
194201;-5.8
194202;-6.1
194203;1.8
194204;3.4
194205;6.5
194206;11.3
194207;13.5
194208;12.7
194209;12.4
194210;7.4
194211;1.4
194212;-0.5
194301;-1.4
194302;-0.8
194303;2.0
194304;5.8
194305;8.9
194306;11.3
194307;13.5
194308;13.7
194309;10.3
194310;7.9
194311;-1.2
194312;-0.8
194401;1.5
194402;-6.2
194403;-2.7
194404;4.0
194405;7.6
194406;9.6
194407;11.7
194408;15.6
194409;8.9
194410;1.9
194411;-0.1
194412;-3.0
194501;-7.5
194502;1.8
194503;2.2
194504;6.4
194505;8.3
194506;12.9
194507;14.3
194508;11.5
194509;10.6
194510;6.3
194511;1.0
194512;-1.3
194601;-2.7
194602;-1.7
194603;-0.6
194604;5.0
194605;4.8
194606;9.1
194607;13.1
194608;12.3
194609;11.4
194610;6.5
194611;1.6
194612;-4.4
194701;-3.8
194702;-3.4
194703;0.6
194704;5.4
194705;7.4
194706;12.1
194707;15.5
194708;15.4
194709;10.7
194710;6.8
194711;3.8
194712;-3.2
194801;-1.0
194802;-1.6
194803;4.6
194804;2.9
194805;7.0
194806;9.8
194807;10.0
194808;12.5
194809;10.5
194810;7.7
194811;6.4
194812;0.0
194901;-1.2
194902;0.9
194903;-1.9
194904;7.0
194905;4.7
194906;11.1
194907;16.2
194908;14.4
194909;11.9
194910;7.7
194911;0.3
194912;0.1
195001;-0.8
195002;-0.4
195003;1.3
195004;0.9
195005;7.4
195006;13.2
195007;16.2
195008;13.1
195009;9.3
195010;6.3
195011;1.7
195012;-5.3
195101;-2.3
195102;-3.5
195103;-2.1
195104;1.3
195105;3.7
195106;10.1
195107;13.3
195108;11.6
195109;10.2
195110;4.7
195111;1.9
195112;0.9
195201;-4.1
195202;-3.9
195203;1.8
195204;3.7
195205;7.9
195206;13.0
195207;15.8
195208;13.0
195209;6.4
195210;5.2
195211;-0.4
195212;-1.4
195301;-3.3
195302;-3.4
195303;1.3
195304;2.5
195305;8.6
195306;7.8
195307;11.9
195308;13.5
195309;10.5
195310;6.3
195311;4.8
195312;0.9
195401;-4.8
195402;-4.5
195403;-0.2
195404;1.0
195405;5.6
195406;10.2
195407;10.0
195408;10.4
195409;9.3
195410;6.6
195411;2.3
195412;1.2
195501;0.5
195502;-3.1
195503;-0.5
195504;5.0
195505;6.2
195506;9.9
195507;13.1
195508;13.2
195509;9.2
195510;4.7
195511;1.3
195512;1.8
195601;-0.3
195602;-11.5
195603;-0.8
195604;0.5
195605;7.3
195606;7.2
195607;11.2
195608;10.8
195609;10.4
195610;3.6
195611;-1.5
195612;-1.0
195701;-1.2
195702;-0.2
195703;3.9
195704;2.3
195705;4.0
195706;9.2
195707;11.2
195708;11.4
195709;9.5
195710;6.8
195711;2.9
195712;-1.2
195801;-2.6
195802;0.2
195803;-1.9
195804;-0.3
195805;8.2
195806;8.7
195807;11.3
195808;12.4
195809;12.4
195810;5.2
195811;1.5
195812;0.0
195901;-1.8
195902;0.9
195903;1.1
195904;2.0
195905;6.1
195906;10.2
195907;14.6
195908;12.0
195909;10.1
195910;4.9
195911;0.8
195912;-0.7
196001;-1.9
196002;-0.5
196003;0.3
196004;1.7
196005;8.3
196006;11.2
196007;10.5
196008;10.8
196009;7.9
196010;3.2
196011;1.3
196012;-3.7
196101;-2.1
196102;1.6
196103;3.3
196104;4.7
196105;5.7
196106;10.5
196107;11.6
196108;12.2
196109;12.8
196110;5.9
196111;0.4
196112;1.7
196201;-1.5
196202;-3.2
196203;-4.6
196204;1.7
196205;5.0
196206;9.9
196207;11.7
196208;14.9
196209;10.8
196210;6.7
196211;-1.2
196212;-3.0
196301;-5.2
196302;-6.5
196303;-1.3
196304;2.1
196305;5.3
196306;9.1
196307;14.0
196308;9.9
196309;8.6
196310;7.3
196311;3.1
196312;-2.4
196401;-0.5
196402;-0.6
196403;-1.3
196404;2.0
196405;8.2
196406;10.8
196407;14.9
196408;11.9
196409;10.9
196410;3.3
196411;3.5
196412;-2.2
196501;-2.7
196502;-5.7
196503;-0.7
196504;0.4
196505;6.4
196506;10.7
196507;10.9
